name,id,bin_center,bin_min,bin_max,bin_width,bin_magnitude,count,mass_raw,mass_raw_error,selection_function,selection_function_error,binary_correction,binary_correction_error,mass_corrected,mass_corrected_error,break_mass,break_mass_err,age_16,age,age_84,age_error
Blanco_1,281,0.138646881,0.127834418,0.150373881,0.022539462,20.39832642,22,976.065868,208.0979423,0.230048844,0.180526255,584.6888073,160.8661071,4827.552409,3453.94481,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.163092771,0.150373881,0.176887448,0.026513567,19.92626719,34,1282.362336,219.9233263,0.535145234,0.16100322,620.4370716,159.8477739,3016.725508,845.1040456,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.191848903,0.176887448,0.208075825,0.031188377,19.51633499,39,1250.46585,200.2347879,0.713125487,0.140026776,614.9268877,124.3734336,2368.427321,461.3664192,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.225675248,0.208075825,0.244763262,0.036687438,19.07729674,46,1253.835183,184.867912,0.819939628,0.108803312,547.0926806,123.9550761,2076.272561,327.6809908,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.265465775,0.244763262,0.287919342,0.04315608,18.60373189,96,2224.483788,227.0354259,0.871232693,0.091769659,420.5664662,106.6518972,2973.826698,389.3746002,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.312272072,0.287919342,0.3386846,0.050765258,18.12733592,73,1437.991317,168.3041534,0.896145037,0.080340625,317.2867339,81.75293832,1921.928011,250.3017953,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.367331146,0.3386846,0.398400668,0.059716068,17.60754039,109,1825.304368,174.8324502,0.91204004,0.075614551,219.4910561,63.75699521,2220.833418,261.4243991,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.432098106,0.398400668,0.468645732,0.070245064,16.96746279,58,825.6807896,108.4171992,0.914384385,0.068675613,130.563317,44.53098867,1033.554229,143.6699003,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.508284622,0.468645732,0.55127624,0.082630508,16.26625024,59,714.0219949,92.95774593,0.912611363,0.068963717,89.98751776,33.30694564,872.3818902,122.3936979,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.597904165,0.55127624,0.648475964,0.097199724,15.33516328,45,462.9642795,69.01464001,0.924219422,0.069019421,60.40581552,24.40323695,561.3304536,87.01163758,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.703325214,0.648475964,0.762813713,0.114337749,14.22268019,26,227.3964653,44.59611592,0.918102263,0.068867861,35.42137248,16.07001103,283.1023493,54.43229097,0.451569261,0.032898552,7.943,7.975,7.998,
